"","Year","Result","Course","Count"
"147",2023,"Did Not Finish","CSC1016S",4
"148",2023,"Did Not Finish","CSC1017F",7
"149",2023,"Did Not Finish","CSC1019F",11
"150",2023,"Did Not Finish","CSC2001F",1
"151",2023,"Did Not Finish","CSC2002S",6
"152",2023,"Did Not Finish","CSC2004Z",6
"153",2023,"Did Not Finish","CSC3002F",1
"154",2023,"Did Not Finish","CSC3003S",1
"155",2023,"Fail","CSC1010H",23
"156",2023,"Fail","CSC1011H",22
"157",2023,"Fail","CSC1015F",160
"158",2023,"Fail","CSC1016S",177
"159",2023,"Fail","CSC1017F",20
"160",2023,"Fail","CSC1019F",10
"161",2023,"Fail","CSC2001F",104
"162",2023,"Fail","CSC2002S",124
"163",2023,"Fail","CSC2004Z",101
"164",2023,"Fail","CSC3002F",13
"165",2023,"Fail","CSC3003S",39
